batting_team,bowling_team,venue,overs,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,total_score
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,13.9,92,2,63,1,159
Mumbai Indians,Lucknow Super Giants,Sawai Mansingh Stadium,8.5,49,0,35,0,137
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,10.3,104,3,58,0,168
Chennai Super Kings,Rajasthan Royals,M Chinnaswamy Stadium,10.2,83,4,67,2,153
Royal Challengers Bangalore,Mumbai Indians,Feroz Shah Kotla,7.7,64,2,67,0,179
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,18.3,123,4,62,0,132
Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,6.2,37,3,68,0,109
Punjab Kings,Kolkata Knight Riders,Feroz Shah Kotla,15.2,170,3,47,1,209
Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,15.6,154,2,30,2,202
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,6.9,76,1,37,0,192
Lucknow Super Giants,Gujarat Titans,Feroz Shah Kotla,18.8,137,5,48,1,146
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,8.9,55,3,30,0,147
Chennai Super Kings,Rajasthan Royals,M Chinnaswamy Stadium,17.6,207,2,28,1,232
Rajasthan Royals,Sunrisers Hyderabad,Arun Jaitley Stadium,9.7,51,3,64,1,122
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,13.6,118,2,36,2,158
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,5.1,36,0,46,0,213
Punjab Kings,Kolkata Knight Riders,MA Chidambaram Stadium,15.2,89,2,31,1,115
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,7.2,52,2,40,1,168
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi International Stadium,8.7,90,1,53,1,154
Rajasthan Royals,Royal Challengers Bangalore,Punjab Cricket Association Stadium,7.9,61,3,54,3,139
Sunrisers Hyderabad,Mumbai Indians,Narendra Modi Stadium,6.8,57,1,46,1,206
Rajasthan Royals,Lucknow Super Giants,M Chinnaswamy Stadium,17.7,201,2,66,0,217
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,12.1,62,2,69,0,146
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,11.6,111,2,67,0,169
Kolkata Knight Riders,Rajasthan Royals,M Chinnaswamy Stadium,18.0,150,2,25,1,165
Gujarat Titans,Royal Challengers Bangalore,MA Chidambaram Stadium,14.9,99,3,34,1,136
Delhi Capitals,Punjab Kings,Punjab Cricket Association Stadium,16.5,155,3,66,0,188
Gujarat Titans,Royal Challengers Bangalore,Sawai Mansingh Stadium,11.2,70,2,35,1,169
Sunrisers Hyderabad,Punjab Kings,Feroz Shah Kotla,5.1,48,3,29,0,183
Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Stadium,10.0,71,1,30,1,172
Royal Challengers Bangalore,Kolkata Knight Riders,Punjab Cricket Association Stadium,16.1,144,4,68,1,171
Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,12.2,125,3,59,0,192
Lucknow Super Giants,Punjab Kings,Punjab Cricket Association Stadium,6.7,38,0,65,0,191
Punjab Kings,Royal Challengers Bangalore,Punjab Cricket Association Stadium,14.1,131,1,36,0,189
Punjab Kings,Lucknow Super Giants,Wankhede Stadium,8.6,70,1,68,1,196
Lucknow Super Giants,Royal Challengers Bangalore,Feroz Shah Kotla,12.1,126,1,65,1,205
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi International Stadium,7.7,56,3,54,1,140
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,11.0,100,3,28,1,172
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,16.1,107,2,45,1,135
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,14.5,108,0,39,0,162
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,6.5,63,0,25,0,172
Sunrisers Hyderabad,Royal Challengers Bangalore,Wankhede Stadium,18.9,224,2,45,2,232
Chennai Super Kings,Rajasthan Royals,M Chinnaswamy Stadium,12.1,85,1,33,0,142
Mumbai Indians,Punjab Kings,Narendra Modi Stadium,8.7,71,3,60,1,154
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,11.3,84,0,61,0,196
Kolkata Knight Riders,Punjab Kings,Narendra Modi Stadium,16.2,146,1,36,0,188
Kolkata Knight Riders,Gujarat Titans,Narendra Modi Stadium,10.5,85,1,51,1,190
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,18.7,154,4,27,1,164
Gujarat Titans,Punjab Kings,MA Chidambaram Stadium,17.0,120,1,68,0,145
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,12.8,134,1,38,0,211
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,5.1,52,4,68,3,191
Chennai Super Kings,Sunrisers Hyderabad,M Chinnaswamy Stadium,14.9,163,1,68,0,206
Royal Challengers Bangalore,Punjab Kings,Sawai Mansingh Stadium,16.5,159,3,45,1,185
Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,8.2,85,0,56,0,226
Lucknow Super Giants,Chennai Super Kings,Feroz Shah Kotla,12.1,111,5,35,2,148
Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi International Stadium,8.2,79,4,68,1,158
Delhi Capitals,Rajasthan Royals,Punjab Cricket Association Stadium,15.2,177,1,46,1,214
Gujarat Titans,Mumbai Indians,M Chinnaswamy Stadium,18.2,184,4,61,3,193
Delhi Capitals,Gujarat Titans,Narendra Modi Stadium,12.0,133,4,35,2,206
Punjab Kings,Chennai Super Kings,Wankhede Stadium,10.7,76,4,62,2,130
Royal Challengers Bangalore,Gujarat Titans,M Chinnaswamy Stadium,5.8,32,2,56,1,145
Sunrisers Hyderabad,Punjab Kings,Feroz Shah Kotla,8.6,58,2,43,0,186
Sunrisers Hyderabad,Lucknow Super Giants,MA Chidambaram Stadium,13.4,148,2,32,2,195
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,11.6,68,5,31,2,136
Lucknow Super Giants,Mumbai Indians,Sawai Mansingh Stadium,14.1,165,2,49,0,214
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,14.1,78,4,45,0,125
Sunrisers Hyderabad,Rajasthan Royals,Punjab Cricket Association Stadium,5.7,43,1,68,1,209
Lucknow Super Giants,Rajasthan Royals,M Chinnaswamy Stadium,18.4,202,1,28,1,214
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,14.3,152,3,57,1,186
Lucknow Super Giants,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,14.9,115,4,49,0,161
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,17.3,122,1,50,0,149
Punjab Kings,Chennai Super Kings,Sawai Mansingh Stadium,14.8,137,3,30,1,163
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,13.2,94,6,54,0,122
Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,9.5,99,1,34,1,180
Sunrisers Hyderabad,Chennai Super Kings,Punjab Cricket Association Stadium,18.1,147,6,39,1,158
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,17.8,142,1,68,1,167
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi International Stadium,10.6,94,3,45,1,156
Mumbai Indians,Gujarat Titans,M Chinnaswamy Stadium,12.7,68,4,34,2,103
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,15.1,107,3,67,2,139
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,6.5,46,6,47,1,110
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,9.0,84,2,40,2,201
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,10.3,113,2,37,0,169
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,8.5,86,4,53,1,198
Rajasthan Royals,Lucknow Super Giants,Punjab Cricket Association Stadium,17.0,175,6,68,3,189
Lucknow Super Giants,Punjab Kings,Eden Gardens,13.4,112,4,29,0,143
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,12.7,123,1,51,0,183
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,15.9,81,3,53,2,112
Lucknow Super Giants,Kolkata Knight Riders,Narendra Modi Stadium,14.3,78,4,26,1,127
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,6.0,46,2,45,2,169
Mumbai Indians,Kolkata Knight Riders,MA Chidambaram Stadium,15.0,166,4,61,3,189
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,13.3,110,3,43,1,152
Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,17.9,105,0,51,0,131
Punjab Kings,Delhi Capitals,Punjab Cricket Association Stadium,11.2,83,4,65,0,159
Gujarat Titans,Chennai Super Kings,Eden Gardens,11.6,88,4,62,1,152
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,14.7,75,4,34,1,102
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,10.3,95,1,26,0,161
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,12.8,104,3,38,2,146
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,12.2,102,2,30,2,177
Gujarat Titans,Sunrisers Hyderabad,Punjab Cricket Association Stadium,11.3,79,4,51,1,146
Punjab Kings,Chennai Super Kings,Rajiv Gandhi International Stadium,5.1,32,1,54,1,156
Delhi Capitals,Rajasthan Royals,Rajiv Gandhi International Stadium,13.3,108,2,29,1,178
Lucknow Super Giants,Sunrisers Hyderabad,MA Chidambaram Stadium,15.8,84,1,51,1,114
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,10.5,65,3,41,0,126
Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi International Stadium,12.8,103,1,31,0,164
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,8.3,65,3,27,0,136
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,11.2,59,2,67,2,113
Lucknow Super Giants,Royal Challengers Bangalore,Sawai Mansingh Stadium,6.9,39,2,35,1,137
Kolkata Knight Riders,Punjab Kings,Eden Gardens,9.3,101,2,66,0,204
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,18.8,160,1,42,1,174
Chennai Super Kings,Punjab Kings,Punjab Cricket Association Stadium,14.7,116,2,37,1,155
Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,12.6,77,7,62,1,132
Delhi Capitals,Chennai Super Kings,Rajiv Gandhi International Stadium,7.4,50,1,38,1,185
Kolkata Knight Riders,Lucknow Super Giants,M Chinnaswamy Stadium,6.9,35,3,32,1,132
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,18.0,159,4,69,0,176
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,9.5,68,1,36,0,142
Rajasthan Royals,Gujarat Titans,M Chinnaswamy Stadium,8.6,73,1,49,1,198
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,12.3,106,2,53,0,174
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,15.5,116,1,28,0,146
Lucknow Super Giants,Mumbai Indians,Punjab Cricket Association Stadium,5.3,36,3,34,1,150
Sunrisers Hyderabad,Lucknow Super Giants,MA Chidambaram Stadium,10.8,78,5,51,3,138
Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,13.9,150,3,66,0,200
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,17.6,139,2,43,1,159
Delhi Capitals,Kolkata Knight Riders,M Chinnaswamy Stadium,13.6,82,1,31,1,124
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,16.0,121,2,59,1,150
Lucknow Super Giants,Delhi Capitals,Eden Gardens,7.2,53,0,47,0,208
Royal Challengers Bangalore,Punjab Kings,MA Chidambaram Stadium,11.6,73,2,32,1,158
Sunrisers Hyderabad,Lucknow Super Giants,Arun Jaitley Stadium,11.8,95,0,61,0,187
Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,5.9,44,2,38,0,204
Chennai Super Kings,Lucknow Super Giants,Feroz Shah Kotla,9.7,62,4,51,0,153
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,7.8,54,2,58,1,141
Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,12.4,88,3,59,1,141
Mumbai Indians,Delhi Capitals,Wankhede Stadium,9.2,60,4,32,3,161
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,11.0,66,2,69,1,121
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,10.7,70,4,68,0,126
Lucknow Super Giants,Sunrisers Hyderabad,M Chinnaswamy Stadium,14.4,149,4,51,0,180
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association Stadium,5.0,31,2,62,2,135
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,6.8,65,3,31,1,132
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,10.8,113,3,36,0,205
Mumbai Indians,Sunrisers Hyderabad,M Chinnaswamy Stadium,12.4,121,4,35,0,184
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,8.5,54,2,45,2,158
Lucknow Super Giants,Gujarat Titans,Punjab Cricket Association Stadium,19.4,105,0,50,0,109
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,9.4,91,2,38,1,207
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,5.5,45,3,42,1,116
Punjab Kings,Mumbai Indians,Eden Gardens,17.4,101,0,40,0,131
Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,10.9,91,5,69,0,129
Mumbai Indians,Rajasthan Royals,Feroz Shah Kotla,16.1,100,0,66,0,144
Sunrisers Hyderabad,Royal Challengers Bangalore,Feroz Shah Kotla,17.2,194,5,46,1,206
Punjab Kings,Mumbai Indians,Eden Gardens,16.1,104,1,52,1,150
Chennai Super Kings,Lucknow Super Giants,Sawai Mansingh Stadium,9.5,76,2,56,0,136
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,18.6,169,4,50,2,180
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,16.4,84,4,69,1,113
Delhi Capitals,Punjab Kings,Rajiv Gandhi International Stadium,17.4,100,2,65,1,118
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,10.4,77,4,47,1,139
Lucknow Super Giants,Chennai Super Kings,Rajiv Gandhi International Stadium,7.4,39,2,28,1,110
Rajasthan Royals,Punjab Kings,Wankhede Stadium,14.0,127,0,45,0,193
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,9.1,73,6,62,0,122
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,10.5,73,2,65,0,138
Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,11.4,104,2,50,1,171
Gujarat Titans,Royal Challengers Bangalore,Narendra Modi Stadium,11.4,104,1,60,0,191
Delhi Capitals,Chennai Super Kings,MA Chidambaram Stadium,6.4,68,4,25,2,145
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,8.5,90,0,50,0,180
Gujarat Titans,Delhi Capitals,Punjab Cricket Association Stadium,12.3,138,5,47,1,182
Delhi Capitals,Chennai Super Kings,Sawai Mansingh Stadium,8.4,46,2,66,1,164
Chennai Super Kings,Punjab Kings,M Chinnaswamy Stadium,8.7,77,2,34,0,155
Royal Challengers Bangalore,Lucknow Super Giants,Feroz Shah Kotla,19.5,152,3,37,2,155
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,5.7,46,2,32,2,159
Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,11.3,62,3,52,0,149
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,8.5,82,4,67,0,158
Punjab Kings,Rajasthan Royals,Wankhede Stadium,7.0,35,1,69,1,127
Delhi Capitals,Lucknow Super Giants,Narendra Modi Stadium,14.7,114,5,41,0,151
Gujarat Titans,Mumbai Indians,M Chinnaswamy Stadium,11.7,120,2,52,2,175
Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,11.5,137,2,42,2,216
Lucknow Super Giants,Kolkata Knight Riders,Narendra Modi Stadium,10.9,105,3,49,0,190
Punjab Kings,Gujarat Titans,Wankhede Stadium,7.0,41,2,41,2,171
Lucknow Super Giants,Mumbai Indians,Narendra Modi Stadium,18.8,102,0,32,0,113
Mumbai Indians,Delhi Capitals,MA Chidambaram Stadium,17.0,195,4,60,1,209
Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,6.9,62,4,63,1,161
Rajasthan Royals,Delhi Capitals,M Chinnaswamy Stadium,6.6,35,3,68,2,152
Delhi Capitals,Kolkata Knight Riders,M Chinnaswamy Stadium,6.7,80,4,50,2,173
Gujarat Titans,Punjab Kings,Arun Jaitley Stadium,18.4,219,2,62,0,236
Chennai Super Kings,Kolkata Knight Riders,Wankhede Stadium,15.1,117,1,55,1,151
Kolkata Knight Riders,Punjab Kings,Sawai Mansingh Stadium,16.5,119,3,54,0,155
Delhi Capitals,Lucknow Super Giants,Rajiv Gandhi International Stadium,9.3,65,0,36,0,149
Kolkata Knight Riders,Gujarat Titans,Rajiv Gandhi International Stadium,5.6,39,3,49,0,161
Chennai Super Kings,Rajasthan Royals,Rajiv Gandhi International Stadium,19.3,102,1,45,0,108
Gujarat Titans,Mumbai Indians,Eden Gardens,18.5,93,2,28,1,108
Sunrisers Hyderabad,Mumbai Indians,Punjab Cricket Association Stadium,6.0,52,2,32,2,187
Kolkata Knight Riders,Lucknow Super Giants,Rajiv Gandhi International Stadium,15.3,183,4,32,2,219
Kolkata Knight Riders,Gujarat Titans,Rajiv Gandhi International Stadium,10.5,53,0,27,0,119
Lucknow Super Giants,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,18.6,108,3,50,1,119
Delhi Capitals,Royal Challengers Bangalore,MA Chidambaram Stadium,18.8,101,2,29,1,108
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,9.0,68,1,60,1,149
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,14.5,117,6,56,0,158
Chennai Super Kings,Rajasthan Royals,Eden Gardens,13.4,108,4,26,1,155
Royal Challengers Bangalore,Kolkata Knight Riders,Punjab Cricket Association Stadium,17.3,124,3,34,1,152
Mumbai Indians,Lucknow Super Giants,Feroz Shah Kotla,7.8,88,2,41,0,191
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,13.0,129,3,63,0,188
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,5.2,34,4,37,2,154
Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla,14.0,77,2,50,2,113
Rajasthan Royals,Lucknow Super Giants,Wankhede Stadium,17.4,190,1,57,1,216
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,9.0,61,3,38,1,165
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,16.4,111,3,65,0,135
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,14.3,137,1,49,1,193
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,5.8,65,5,66,2,134
Chennai Super Kings,Punjab Kings,M Chinnaswamy Stadium,11.8,83,2,25,1,147
Mumbai Indians,Chennai Super Kings,Eden Gardens,18.5,184,1,52,1,194
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,5.4,37,6,57,1,93
Mumbai Indians,Delhi Capitals,Eden Gardens,19.3,162,4,34,0,167
Mumbai Indians,Lucknow Super Giants,Eden Gardens,6.7,49,3,43,1,137
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,9.0,67,1,36,1,175
Chennai Super Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,12.5,78,2,32,2,131
Rajasthan Royals,Punjab Kings,Punjab Cricket Association Stadium,11.7,110,3,32,1,173
Rajasthan Royals,Kolkata Knight Riders,Rajiv Gandhi International Stadium,15.1,108,5,61,3,136
Mumbai Indians,Punjab Kings,Sawai Mansingh Stadium,14.5,85,4,58,1,112
Punjab Kings,Lucknow Super Giants,Wankhede Stadium,17.2,192,1,37,1,210
Kolkata Knight Riders,Sunrisers Hyderabad,M Chinnaswamy Stadium,7.6,76,2,51,0,146
Punjab Kings,Rajasthan Royals,Rajiv Gandhi International Stadium,17.9,198,4,35,0,218
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,15.6,92,1,61,1,130
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,13.7,157,2,44,0,222
Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,8.7,68,3,28,1,141
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,16.5,97,1,30,0,128
Gujarat Titans,Kolkata Knight Riders,MA Chidambaram Stadium,8.1,82,1,64,1,170
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi International Stadium,9.7,113,1,42,0,187
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,11.6,84,0,30,0,177
Punjab Kings,Gujarat Titans,Sawai Mansingh Stadium,7.4,43,4,25,1,144
Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla,9.7,80,4,61,0,131
Gujarat Titans,Mumbai Indians,Rajiv Gandhi International Stadium,18.9,159,2,45,2,166
Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,6.4,36,5,30,0,148
Kolkata Knight Riders,Rajasthan Royals,M Chinnaswamy Stadium,11.8,100,3,52,0,177
Kolkata Knight Riders,Gujarat Titans,Narendra Modi Stadium,11.9,87,1,63,1,168
Mumbai Indians,Chennai Super Kings,Sawai Mansingh Stadium,11.6,78,0,65,0,172
Gujarat Titans,Punjab Kings,M Chinnaswamy Stadium,13.4,102,8,59,1,141
Rajasthan Royals,Sunrisers Hyderabad,Punjab Cricket Association Stadium,9.0,104,6,30,2,146
Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association Stadium,9.7,74,1,34,1,183
Rajasthan Royals,Kolkata Knight Riders,M Chinnaswamy Stadium,10.2,98,0,37,0,195
Punjab Kings,Gujarat Titans,MA Chidambaram Stadium,5.7,60,0,67,0,194
Gujarat Titans,Rajasthan Royals,MA Chidambaram Stadium,6.0,53,2,64,2,186
Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,7.1,81,3,64,0,199
Punjab Kings,Sunrisers Hyderabad,M Chinnaswamy Stadium,13.7,75,3,46,2,124
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,11.2,79,1,30,1,170
Chennai Super Kings,Lucknow Super Giants,Arun Jaitley Stadium,17.1,115,1,34,0,147
Gujarat Titans,Lucknow Super Giants,MA Chidambaram Stadium,16.2,81,1,54,0,103
Mumbai Indians,Punjab Kings,Narendra Modi Stadium,16.0,132,2,58,1,162
Chennai Super Kings,Rajasthan Royals,M Chinnaswamy Stadium,13.1,120,5,51,1,170
Kolkata Knight Riders,Gujarat Titans,Sawai Mansingh Stadium,13.5,86,5,45,0,139
Kolkata Knight Riders,Chennai Super Kings,Feroz Shah Kotla,9.2,95,5,32,0,149
Lucknow Super Giants,Rajasthan Royals,M Chinnaswamy Stadium,18.5,113,3,43,1,122
Mumbai Indians,Rajasthan Royals,Eden Gardens,17.0,163,1,59,0,197
Punjab Kings,Gujarat Titans,Rajiv Gandhi International Stadium,6.9,64,5,52,3,135
Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,19.2,127,2,40,2,132
Chennai Super Kings,Mumbai Indians,Punjab Cricket Association Stadium,18.3,101,2,28,1,114
Gujarat Titans,Kolkata Knight Riders,Punjab Cricket Association Stadium,13.8,135,2,36,2,183
Royal Challengers Bangalore,Delhi Capitals,Sawai Mansingh Stadium,15.6,155,2,39,0,193
Delhi Capitals,Punjab Kings,M Chinnaswamy Stadium,18.0,176,1,66,1,200
Punjab Kings,Chennai Super Kings,Eden Gardens,17.6,139,3,42,0,153
Mumbai Indians,Gujarat Titans,Arun Jaitley Stadium,12.3,143,2,33,2,209
Royal Challengers Bangalore,Punjab Kings,Sawai Mansingh Stadium,15.2,82,3,35,1,128
Chennai Super Kings,Royal Challengers Bangalore,Punjab Cricket Association Stadium,5.4,34,4,62,1,177
Punjab Kings,Chennai Super Kings,Rajiv Gandhi International Stadium,17.3,204,5,57,3,222
Punjab Kings,Lucknow Super Giants,M Chinnaswamy Stadium,5.2,31,2,35,0,174
Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,13.8,75,3,69,0,131
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,12.8,71,0,41,0,149
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,14.5,99,0,66,0,136
Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,14.9,97,1,69,1,137
Punjab Kings,Delhi Capitals,Eden Gardens,18.3,133,1,67,0,151
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,12.8,69,0,67,0,124
Lucknow Super Giants,Kolkata Knight Riders,Narendra Modi Stadium,14.9,137,3,28,2,184
Sunrisers Hyderabad,Rajasthan Royals,Punjab Cricket Association Stadium,11.6,59,2,35,1,149
Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,13.1,92,3,29,1,126
Chennai Super Kings,Gujarat Titans,Sawai Mansingh Stadium,14.3,86,7,67,3,110
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,7.6,45,3,49,0,155
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,19.3,189,0,46,0,194
Punjab Kings,Mumbai Indians,Rajiv Gandhi International Stadium,8.2,85,1,37,1,163
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,12.2,87,4,61,1,127
Gujarat Titans,Mumbai Indians,MA Chidambaram Stadium,16.9,167,2,32,2,194
Punjab Kings,Chennai Super Kings,Sawai Mansingh Stadium,14.0,96,5,66,0,149
Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,10.8,65,3,64,1,158
Sunrisers Hyderabad,Delhi Capitals,MA Chidambaram Stadium,14.7,87,4,60,0,111
Chennai Super Kings,Sunrisers Hyderabad,Punjab Cricket Association Stadium,13.4,141,4,28,2,191
Kolkata Knight Riders,Gujarat Titans,M Chinnaswamy Stadium,13.9,79,5,41,1,117
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,7.6,90,1,55,1,174
Gujarat Titans,Royal Challengers Bangalore,Punjab Cricket Association Stadium,10.3,63,3,47,0,118
Lucknow Super Giants,Punjab Kings,Sawai Mansingh Stadium,8.7,55,5,52,0,152
Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,6.2,52,6,46,2,117
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,11.2,74,2,29,2,141
Delhi Capitals,Punjab Kings,MA Chidambaram Stadium,16.9,194,0,28,0,232
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,14.7,111,2,64,0,170
Delhi Capitals,Rajasthan Royals,Narendra Modi Stadium,7.4,75,0,44,0,189
Delhi Capitals,Punjab Kings,Rajiv Gandhi International Stadium,9.4,79,2,28,1,190
Punjab Kings,Rajasthan Royals,Wankhede Stadium,13.1,147,2,38,0,209
Gujarat Titans,Mumbai Indians,M Chinnaswamy Stadium,13.5,124,2,46,1,174
Punjab Kings,Delhi Capitals,Feroz Shah Kotla,14.8,165,3,37,1,202
Sunrisers Hyderabad,Lucknow Super Giants,Rajiv Gandhi International Stadium,18.0,164,1,53,1,185
